﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2TAQ9YGehOKWDqDak5DuXc","Plush","Stone Temple Pilots","Thank You","1","5","310346","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:51Gkc1TxvyQ9K8y0pQRmQM","Been Caught Stealing","Jane's Addiction","Ritual De Lo Habitual (Amended Artwork)","1","5","213293","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5yEPxDjbbzUzyauGtnmVEC","Bitter Sweet Symphony","The Verve","Urban Hymns","1","1","358426","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3CtphwpjC0XjIVpLFvGiQR","Hunger Strike - 25th Anniversary Mix","Temple Of The Dog","Temple Of The Dog (Deluxe Edition)","1","3","246266","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remaster","Blur","Blur [Special Edition]","1","2","121160","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:7lksFyVBmmkYBTVQcxnvC3","What I Got","Sublime","Sublime (Deluxe Edition)","1","5","171080","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2V4Bc2I962j7acQj1N0PiQ","Celebrity Skin","Hole","Celebrity Skin","1","1","162666","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4d9RTWdrFLVAGhdzvqxkwn","Losing My Religion","R.E.M.","Out Of Time","1","2","268933","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5PntSbMHC1ud6Vvl8x56qd","Loser","Beck","Mellow Gold","1","1","235000","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1Z5LCXu5Ca3sHAy6OdUrBT","Machinehead","Bush","Sixteen Stone (Remastered)","1","7","256333","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:0NJC0FDCODpPUntRTTQq97","Cryin'","Aerosmith","Get A Grip","1","9","308333","spotify:user:","2020-04-07T16:44:20Z"
